Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Up in Smoke,7,1,0,0,0,Comedy;Music,86
Final Destination,6.7,1,0,0,0,Horror;Thriller,98
Kill the Messenger,6.9,1,0,0,0,Biography;Crime;Drama;Mystery;Thriller,112
Operation Odessa,7.8,1,0,0,0,Documentary,95
The American Meme,7.3,1,0,0,0,Documentary,98
Outlaw King,6.9,1,0,0,0,Action;Biography;Drama;History;War,121
21,6.8,1,0,0,0,Crime;Drama;History;Thriller,123
Holding the Man,7.4,1,0,0,0,Biography;Drama;Romance,127
Krisha,7.2,1,0,0,0,Drama,83
De Palma,7.4,1,0,0,0,Documentary;Biography,110
Dear Ex,7.4,1,0,0,0,Comedy;Drama;Romance,100
Tomorrow Never Dies,6.5,1,0,0,0,Action;Adventure;Thriller,119
Veronica,6.2,1,0,0,0,Comedy,94
The Cakemaker,7.2,1,0,0,0,Drama,113
Instructions Not Included,7.5,1,0,0,0,Comedy;Drama,115
Bleed for This,6.8,1,0,0,0,Biography;Drama;Sport,117
Girl,7.2,1,0,1,0,Drama,105
The Naked Gun 2½: The Smell of Fear,6.9,1,0,0,0,Comedy;Crime,85
Bareilly's Barfi,7.5,1,0,0,0,Comedy;Romance,116
The Sky Is Pink,7.5,1,0,0,0,Drama;Family;Romance,143
Chitty Chitty Bang Bang,6.9,1,0,0,0,Adventure;Family;Fantasy;Musical,144
A Wednesday!,8.1,1,0,0,0,Crime;Drama;Mystery;Thriller,104
Jodhaa Akbar,7.6,1,0,0,0,Action;Drama;History;Romance;War,213
Handsome Devil,7.1,1,0,0,0,Comedy;Drama;Sport,95
Love; Rosie,7.2,1,0,1,0,Comedy;Romance,102
Oceans,7.8,1,0,0,0,Documentary;Drama,104
The Ritual,6.3,1,0,0,0,Horror;Mystery;Thriller,94
Super Dark Times,6.6,1,0,0,0,Crime;Drama;Horror;Thriller,103
Tallulah,6.7,1,0,0,0,Comedy;Drama;Romance,111
Other People,6.8,1,0,0,0,Comedy;Drama,97
Alpha Dog,6.9,1,0,0,0,Biography;Crime;Drama;Thriller,122
Spectral,6.3,1,0,0,0,Action;Adventure;Mystery;Sci-Fi;Thriller,107
The Babysitter,6.3,1,0,1,0,Comedy;Horror,85
